Name,Mean (ps),2*Stdev (ps)
All.comparison: creation benchmark (big).delaunator.local insertion.250000,48461050000,2571086862
All.comparison: creation benchmark (big).delaunator.uniform.50000,8728668750,493723808
All.comparison: creation benchmark (big).delaunator.uniform.100000,19701462500,1678504426
All.comparison: creation benchmark (big).delaunator.uniform.150000,31878712500,2457382804
All.comparison: creation benchmark (big).delaunator.uniform.200000,44595300000,4099383422
All.comparison: creation benchmark (big).delaunator.uniform.250000,57885087500,3576367122
All.comparison: creation benchmark (big).moonlight-triangulation.local insertion.50000,13327481250,968329236
All.comparison: creation benchmark (big).moonlight-triangulation.local insertion.100000,27389737500,2194533014
All.comparison: creation benchmark (big).moonlight-triangulation.local insertion.150000,41351750000,3615162902
All.comparison: creation benchmark (big).moonlight-triangulation.local insertion.200000,55559600000,4341661388
All.comparison: creation benchmark (big).moonlight-triangulation.local insertion.250000,68016550000,3919156344
All.comparison: creation benchmark (big).moonlight-triangulation.uniform.50000,14036881250,894371288
All.comparison: creation benchmark (big).moonlight-triangulation.uniform.100000,28805625000,1989820990
All.comparison: creation benchmark (big).moonlight-triangulation.uniform.150000,43518475000,4299176096
All.comparison: creation benchmark (big).moonlight-triangulation.uniform.200000,59284250000,4046724022
All.comparison: creation benchmark (big).moonlight-triangulation.uniform.250000,73328950000,3485023746
